player_id	daily_recharge	platform_profit	loss_percentage	offer_tier
79495870	1000.00	1133.90	113.39	500-1999 (25% cashback)
80439246	1000.00	1142.00	114.20	500-1999 (25% cashback)
80560752	1000.00	1056.07	105.61	500-1999 (25% cashback)
81014560	1000.00	1201.12	120.11	500-1999 (25% cashback)
81053385	1000.00	2113.40	211.34	500-1999 (25% cashback)
81362723	1000.00	1646.00	164.60	500-1999 (25% cashback)
81865561	1000.00	1059.25	105.93	500-1999 (25% cashback)
82772577	1000.00	1066.30	106.63	500-1999 (25% cashback)
82859091	1000.00	1040.00	104.00	500-1999 (25% cashback)
83316532	1000.00	1053.00	105.30	500-1999 (25% cashback)
83806712	1000.00	1048.60	104.86	500-1999 (25% cashback)
83987134	1000.00	1026.00	102.60	500-1999 (25% cashback)
84465708	1000.00	1067.20	106.72	500-1999 (25% cashback)
86234809	1000.00	1060.66	106.07	500-1999 (25% cashback)
87819127	1000.00	1059.00	105.90	500-1999 (25% cashback)
87853215	1000.00	1181.00	118.10	500-1999 (25% cashback)
88709625	1000.00	1046.40	104.64	500-1999 (25% cashback)
89572569	1000.00	1127.75	112.78	500-1999 (25% cashback)
89652965	1000.00	1044.75	104.48	500-1999 (25% cashback)
89975503	1000.00	1168.30	116.83	500-1999 (25% cashback)
92974042	1000.00	1132.10	113.21	500-1999 (25% cashback)
92995128	1000.00	1806.00	180.60	500-1999 (25% cashback)
93227055	1000.00	1205.00	120.50	500-1999 (25% cashback)
93300509	1000.00	1048.35	104.84	500-1999 (25% cashback)
94798528	1000.00	1056.00	105.60	500-1999 (25% cashback)
95071714	1000.00	1078.00	107.80	500-1999 (25% cashback)
95115956	1000.00	1249.40	124.94	500-1999 (25% cashback)
96459234	1000.00	1057.75	105.78	500-1999 (25% cashback)
96506003	1000.00	1134.68	113.47	500-1999 (25% cashback)
96674308	1000.00	1384.10	138.41	500-1999 (25% cashback)
96724008	1000.00	1089.96	109.00	500-1999 (25% cashback)
99131242	1000.00	1038.00	103.80	500-1999 (25% cashback)
99261063	1000.00	1077.80	107.78	500-1999 (25% cashback)
99617792	1000.00	946.55	94.66	500-1999 (25% cashback)
99647420	1000.00	1093.50	109.35	500-1999 (25% cashback)
74186724	950.00	960.00	101.05	500-1999 (25% cashback)
14189340	906.00	851.99	94.04	500-1999 (25% cashback)
11362579	900.00	951.85	105.76	500-1999 (25% cashback)
27649166	900.00	972.57	108.06	500-1999 (25% cashback)
49769981	900.00	955.34	106.15	500-1999 (25% cashback)
56611754	900.00	977.76	108.64	500-1999 (25% cashback)
57345719	900.00	1174.60	130.51	500-1999 (25% cashback)
64229181	900.00	980.60	108.96	500-1999 (25% cashback)
71816129	900.00	950.10	105.57	500-1999 (25% cashback)
74066218	900.00	935.00	103.89	500-1999 (25% cashback)
85238766	900.00	1042.50	115.83	500-1999 (25% cashback)
87747295	900.00	865.35	96.15	500-1999 (25% cashback)
89952606	900.00	985.00	109.44	500-1999 (25% cashback)
98580443	900.00	1284.12	142.68	500-1999 (25% cashback)
98706533	900.00	1024.39	113.82	500-1999 (25% cashback)
20367210	800.00	888.90	111.11	500-1999 (25% cashback)
29679625	800.00	1021.95	127.74	500-1999 (25% cashback)
31323826	800.00	869.61	108.70	500-1999 (25% cashback)
32128398	800.00	848.20	106.03	500-1999 (25% cashback)
36346832	800.00	891.20	111.40	500-1999 (25% cashback)
45337609	800.00	826.34	103.29	500-1999 (25% cashback)
45997117	800.00	865.40	108.18	500-1999 (25% cashback)
48969245	800.00	722.30	90.29	500-1999 (25% cashback)
53360006	800.00	838.20	104.78	500-1999 (25% cashback)
64250560	800.00	896.30	112.04	500-1999 (25% cashback)
68505326	800.00	823.64	102.96	500-1999 (25% cashback)
72746001	800.00	861.73	107.72	500-1999 (25% cashback)
75035211	800.00	850.24	106.28	500-1999 (25% cashback)
82175193	800.00	837.04	104.63	500-1999 (25% cashback)
82586682	800.00	866.10	108.26	500-1999 (25% cashback)
82916691	800.00	811.51	101.44	500-1999 (25% cashback)
85974013	800.00	1226.80	153.35	500-1999 (25% cashback)
86921151	800.00	854.14	106.77	500-1999 (25% cashback)
89783527	800.00	846.48	105.81	500-1999 (25% cashback)
90784576	800.00	1049.48	131.19	500-1999 (25% cashback)
93661324	800.00	846.68	105.84	500-1999 (25% cashback)
95641950	800.00	926.16	115.77	500-1999 (25% cashback)
98237472	800.00	855.20	106.90	500-1999 (25% cashback)
99269473	800.00	839.20	104.90	500-1999 (25% cashback)
17823685	770.00	843.80	109.58	500-1999 (25% cashback)
35913909	755.00	820.90	108.73	500-1999 (25% cashback)
78920955	730.00	777.00	106.44	500-1999 (25% cashback)
